chrom	start	end	section_genes
chr1	0	11868	
chr1	11868	11873	LOC102725121
chr1	11873	14361	LOC102725121,DDX11L1
chr1	14361	14362	LOC102725121,WASH7P,DDX11L1
chr1	14362	14409	WASH7P,DDX11L1
chr1	14409	17368	WASH7P
chr1	17368	17436	MIR6859-2,MIR6859-4,MIR6859-3,WASH7P,MIR6859-1
chr1	17436	29370	WASH7P
chr1	29370	30365	
chr1	30365	30503	MIR1302-10,MIR1302-2,MIR1302-9,MIR1302-11
chr1	30503	34610	
chr1	34610	36081	FAM138A,FAM138F
chr1	36081	69090	
chr1	69090	70008	OR4F5
chr1	70008	134772	
chr1	134772	140566	LOC729737
chr1	140566	323891	
chr1	323891	328581	LOC100133331,LOC100132062,LOC100132287
chr1	328581	367658	
chr1	367658	368597	OR4F3,OR4F16,OR4F29
chr1	368597	562759	
chr1	562759	564389	LOC101928626
chr1	564389	567704	
chr1	567704	567793	MIR6723
chr1	567793	621095	
chr1	621095	622034	OR4F3,OR4F16,OR4F29
chr1	622034	661138	
chr1	661138	665731	LOC100133331
chr1	665731	700244	
chr1	700244	714068	LOC100288069
chr1	714068	752750	
chr1	752750	755214	FAM87B
chr1	755214	761585	
chr1	761585	762902	LINC00115
chr1	762902	762970	
chr1	762970	763177	LINC01128
chr1	763177	778984	LINC01128
chr1	778984	794826	LINC01128
chr1	794826	803450	
chr1	803450	812182	FAM41C
chr1	812182	852197	
chr1	852197	855072	LOC100130417
chr1	855072	861120	
chr1	861120	879582	SAMD11
chr1	879582	879961	NOC2L,SAMD11
chr1	879961	894679	NOC2L
chr1	894679	895966	
chr1	895966	901099	KLHL17
chr1	901099	901876	
chr1	901876	910484	PLEKHN1
chr1	910484	910578	
chr1	910578	917497	PERM1
chr1	917497	934341	
chr1	934341	934343	HES4
chr1	934343	935552	HES4
chr1	935552	948846	
chr1	948846	949919	ISG15
chr1	949919	955502	
chr1	955502	991499	AGRN
chr1	991499	995113	
chr1	995113	1001833	LOC100288175
chr1	1001833	1007125	
chr1	1007125	1009687	RNF223
chr1	1009687	1017197	
chr1	1017197	1051736	C1orf159
chr1	1051736	1072396	
chr1	1072396	1079434	LINC01342
chr1	1079434	1102483	
chr1	1102483	1102578	MIR200B
chr1	1102578	1103242	
chr1	1103242	1103332	MIR200A
chr1	1103332	1104384	
chr1	1104384	1104467	MIR429
chr1	1104467	1109285	
chr1	1109285	1115076	TTLL10
chr1	1115076	1121243	TTLL10
chr1	1121243	1133313	TTLL10
chr1	1133313	1138887	
chr1	1138887	1142089	TNFRSF18
chr1	1142089	1146705	
chr1	1146705	1149548	TNFRSF4
chr1	1149548	1152287	
chr1	1152287	1167447	SDF4
chr1	1167447	1167628	
chr1	1167628	1170420	B3GALT6
chr1	1170420	1177825	
chr1	1177825	1182102	C1QTNF12
chr1	1182102	1189291	
chr1	1189291	1209234	UBE2J2
chr1	1209234	1215815	
chr1	1215815	1227409	SCNN1D
chr1	1227409	1227763	
chr1	1227763	1231489	ACAP3
chr1	1231489	1231550	ACAP3,MIR6726
chr1	1231550	1240108	ACAP3
chr1	1240108	1240192	ACAP3,SNORD167
chr1	1240192	1243269	ACAP3
chr1	1243269	1243959	
chr1	1243959	1246964	PUSL1
chr1	1246964	1247057	INTS11,PUSL1
chr1	1247057	1247881	INTS11
chr1	1247881	1247946	INTS11,MIR6727
chr1	1247946	1260067	INTS11
chr1	1260067	1260142	
chr1	1260142	1264276	CPTP
chr1	1264276	1266725	
chr1	1266725	1270657	TAS1R3
chr1	1270657	1270700	TAS1R3,DVL1
chr1	1270700	1275029	DVL1
